"seqName","region_final","clade"
"EPI_ISL_177629|Yamagata|HA|Japan/Korea|2015-01-24","Japan/Korea","Y3"
"EPI_ISL_201187|Yamagata|HA|Japan/Korea|2015-06-15","Japan/Korea","Y3"
"EPI_ISL_190864|Yamagata|HA|Japan/Korea|2015-03-28","Japan/Korea","Y3"
"EPI_ISL_211787|Yamagata|HA|Japan/Korea|2015-12-18","Japan/Korea","Y3"
"EPI_ISL_211777|Yamagata|HA|Japan/Korea|2015-10-14","Japan/Korea","Y3"
"EPI_ISL_190862|Yamagata|HA|Japan/Korea|2015-02-24","Japan/Korea","Y3"
"EPI_ISL_192530|Yamagata|HA|Japan/Korea|2015-04-01","Japan/Korea","Y3"
"EPI_ISL_173077|Yamagata|HA|Japan/Korea|2015-01-09","Japan/Korea","Y3"
"EPI_ISL_306961|Yamagata|HA|Japan/Korea|2015-07-03","Japan/Korea","Y3"
"EPI_ISL_190861|Yamagata|HA|Japan/Korea|2015-01-30","Japan/Korea","Y3"
"EPI_ISL_211793|Yamagata|HA|Japan/Korea|2015-11-27","Japan/Korea","Y3"
"EPI_ISL_195734|Yamagata|HA|Japan/Korea|2015-03-24","Japan/Korea","Y3"
"EPI_ISL_225428|Yamagata|HA|Japan/Korea|2016-03-17","Japan/Korea","Y3"
"EPI_ISL_214589|Yamagata|HA|Japan/Korea|2016-02-23","Japan/Korea","Y3"
"EPI_ISL_223129|Yamagata|HA|Japan/Korea|2016-03-23","Japan/Korea","Y3"
"EPI_ISL_250880|Yamagata|HA|Japan/Korea|2016-11-16","Japan/Korea","Y3"
"EPI_ISL_220904|Yamagata|HA|Japan/Korea|2016-01-25","Japan/Korea","Y3"
"EPI_ISL_231989|Yamagata|HA|Japan/Korea|2016-05-10","Japan/Korea","Y3"
"EPI_ISL_214588|Yamagata|HA|Japan/Korea|2016-02-18","Japan/Korea","Y3"
"EPI_ISL_215987|Yamagata|HA|Japan/Korea|2016-01-18","Japan/Korea","Y3"
"EPI_ISL_214339|Yamagata|HA|Japan/Korea|2016-02-01","Japan/Korea","Y3"
"EPI_ISL_232527|Yamagata|HA|Japan/Korea|2016-01-11","Japan/Korea","Y3"
"EPI_ISL_215168|Yamagata|HA|Japan/Korea|2016-01-08","Japan/Korea","Y3"
"EPI_ISL_262873|Yamagata|HA|Japan/Korea|2016-04-11","Japan/Korea","Y3"
"EPI_ISL_232523|Yamagata|HA|Japan/Korea|2016-05-07","Japan/Korea","Y3"
"EPI_ISL_215985|Yamagata|HA|Japan/Korea|2016-01-23","Japan/Korea","Y3"
"EPI_ISL_220900|Yamagata|HA|Japan/Korea|2016-02-17","Japan/Korea","Y3"
"MH706533.1|BY|HA|Japan/Korea|2017-11-27","Japan/Korea","Y3"
"EPI_ISL_312681|Yamagata|HA|Japan/Korea|2017-12-13","Japan/Korea","Y3"
"EPI_ISL_268535|Yamagata|HA|Japan/Korea|2017-02-22","Japan/Korea","Y3"
"EPI_ISL_268542|Yamagata|HA|Japan/Korea|2017-03-30","Japan/Korea","Y3"
"EPI_ISL_266273|Yamagata|HA|Japan/Korea|2017-04-17","Japan/Korea","Y3"
"EPI_ISL_315183|Yamagata|HA|Japan/Korea|2017-12-19","Japan/Korea","Y3"
"EPI_ISL_300380|Yamagata|HA|Japan/Korea|2017-09-18","Japan/Korea","Y3"
"EPI_ISL_266271|Yamagata|HA|Japan/Korea|2017-02-21","Japan/Korea","Y3"
"EPI_ISL_253173|Yamagata|HA|Japan/Korea|2017-01-24","Japan/Korea","Y3"
"EPI_ISL_270283|Yamagata|HA|Japan/Korea|2017-02-15","Japan/Korea","Y3"
"EPI_ISL_276925|Yamagata|HA|Japan/Korea|2017-03-13","Japan/Korea","Y3"
"EPI_ISL_306050|Yamagata|HA|Japan/Korea|2017-12-18","Japan/Korea","Y3"
"EPI_ISL_376918|Yamagata|HA|Japan/Korea|2017-12-18","Japan/Korea","Y3"
"EPI_ISL_268531|Yamagata|HA|Japan/Korea|2017-03-17","Japan/Korea","Y3"
"EPI_ISL_270275|Yamagata|HA|Japan/Korea|2017-04-28","Japan/Korea","Y3"
"EPI_ISL_316508|Yamagata|HA|Japan/Korea|2018-04-13","Japan/Korea","Y3"
"EPI_ISL_305551|Yamagata|HA|Japan/Korea|2018-01-22","Japan/Korea","Y3"
"EPI_ISL_390947|Yamagata|HA|Japan/Korea|2018-01-17","Japan/Korea","Y3"
"EPI_ISL_321497|Yamagata|HA|Japan/Korea|2018-05-01","Japan/Korea","Y3"
"EPI_ISL_390948|Yamagata|HA|Japan/Korea|2018-01-18","Japan/Korea","Y3"
"EPI_ISL_376916|Yamagata|HA|Japan/Korea|2018-02-05","Japan/Korea","Y3"
"MH748060.1|BY|HA|Japan/Korea|2018-01-07","Japan/Korea","Y3"
"EPI_ISL_306056|Yamagata|HA|Japan/Korea|2018-02-06","Japan/Korea","Y3"
"EPI_ISL_390996|Yamagata|HA|Japan/Korea|2018-02-08","Japan/Korea","Y3"
"MH748037.1|BY|HA|Japan/Korea|2018-01-16","Japan/Korea","Y3"
"EPI_ISL_316115|Yamagata|HA|Japan/Korea|2018-04-09","Japan/Korea","Y3"
"EPI_ISL_308769|Yamagata|HA|Japan/Korea|2018-02-23","Japan/Korea","Y3"
"EPI_ISL_390963|Yamagata|HA|Japan/Korea|2018-02-23","Japan/Korea","Y3"
"EPI_ISL_308768|Yamagata|HA|Japan/Korea|2018-01-11","Japan/Korea","Y3"
"EPI_ISL_308761|Yamagata|HA|Japan/Korea|2018-01-10","Japan/Korea","Y3"
"EPI_ISL_500491|Yamagata|HA|Japan/Korea|2019-12-09","Japan/Korea","Y3"
"EPI_ISL_377406|Yamagata|HA|Japan/Korea|2019-02-12","Japan/Korea","Y3"
"EPI_ISL_394184|Yamagata|HA|Japan/Korea|2019-03-05","Japan/Korea","Y3"
"EPI_ISL_377414|Yamagata|HA|Japan/Korea|2019-01-16","Japan/Korea","Y3"
"EPI_ISL_389106|Yamagata|HA|Japan/Korea|2019-05-17","Japan/Korea","Y3"
"EPI_ISL_364661|Yamagata|HA|Japan/Korea|2019-05-02","Japan/Korea","Y3"
"EPI_ISL_398309|Yamagata|HA|Japan/Korea|2019-03-04","Japan/Korea","Y3"
"EPI_ISL_394190|Yamagata|HA|Japan/Korea|2019-01-10","Japan/Korea","Y3"
"EPI_ISL_350491|Yamagata|HA|Japan/Korea|2019-01-05","Japan/Korea","Y3"
"EPI_ISL_377407|Yamagata|HA|Japan/Korea|2019-02-06","Japan/Korea","Y3"
"EPI_ISL_389102|Yamagata|HA|Japan/Korea|2019-04-15","Japan/Korea","Y3"
"EPI_ISL_391004|Yamagata|HA|Japan/Korea|2019-01-15","Japan/Korea","Y3"
"EPI_ISL_364650|Yamagata|HA|Japan/Korea|2019-04-15","Japan/Korea","Y3"
"EPI_ISL_377405|Yamagata|HA|Japan/Korea|2019-02-08","Japan/Korea","Y3"
"EPI_ISL_364648|Yamagata|HA|Japan/Korea|2019-05-02","Japan/Korea","Y3"
"EPI_ISL_88875|Yamagata|HA|NorthAmerica|2011-02-09","North America","Y1"
"EPI_ISL_87835|Yamagata|HA|NorthAmerica|2011-01-14","North America","Y1"
"EPI_ISL_87832|Yamagata|HA|NorthAmerica|2011-01-11","North America","Y1"
"EPI_ISL_115061|Yamagata|HA|NorthAmerica|2011-04-10","North America","Y1"
"EPI_ISL_100092|Yamagata|HA|NorthAmerica|2011-10-25","North America","Y3"
"EPI_ISL_104022|Yamagata|HA|NorthAmerica|2011-12-21","North America","Y1"
"EPI_ISL_99629|Yamagata|HA|NorthAmerica|2011-09-22","North America","Y1"
"EPI_ISL_93526|Yamagata|HA|NorthAmerica|2011-02-01","North America","Y1"
"CY175905.1|BY|HA|NorthAmerica|2011-03-14","North America","Y1"
"EPI_ISL_100090|Yamagata|HA|NorthAmerica|2011-10-14","North America","Y1"
"EPI_ISL_94750|Yamagata|HA|NorthAmerica|2011-05-14","North America","Y1"
"EPI_ISL_88910|Yamagata|HA|NorthAmerica|2011-02-17","North America","Y1"
"EPI_ISL_100094|Yamagata|HA|NorthAmerica|2011-11-13","North America","Y1"
"EPI_ISL_88919|Yamagata|HA|NorthAmerica|2011-02-16","North America","Y1"
"EPI_ISL_96045|Yamagata|HA|NorthAmerica|2011-08-24","North America","Y1"
"EPI_ISL_132977|Yamagata|HA|NorthAmerica|2012-12-08","North America","Y2"
"EPI_ISL_128950|Yamagata|HA|NorthAmerica|2012-07-20","North America","Y2"
"EPI_ISL_117375|Yamagata|HA|NorthAmerica|2012-02-11","North America","Y2"
"EPI_ISL_133979|Yamagata|HA|NorthAmerica|2012-12-06","North America","Y2"
"EPI_ISL_131849|Yamagata|HA|NorthAmerica|2012-10-29","North America","Y2"
"EPI_ISL_128957|Yamagata|HA|NorthAmerica|2012-07-20","North America","Y2"
"EPI_ISL_122154|Yamagata|HA|NorthAmerica|2012-06-02","North America","Y2"
"EPI_ISL_107101|Yamagata|HA|NorthAmerica|2012-01-25","North America","Y1"
"EPI_ISL_132971|Yamagata|HA|NorthAmerica|2012-10-03","North America","Y2"
"EPI_ISL_132973|Yamagata|HA|NorthAmerica|2012-11-17","North America","Y1"
"CY120808.1|BY|HA|NorthAmerica|2012-04-19","North America","Y2"
"MW600489.1|BY|HA|NorthAmerica|2012-03-13","North America","Y2"
"EPI_ISL_128366|Yamagata|HA|NorthAmerica|2012-07-10","North America","Y2"
"EPI_ISL_121422|Yamagata|HA|NorthAmerica|2012-05-04","North America","Y2"
"CY173801.1|BY|HA|NorthAmerica|2012-04-30","North America","Y1"
"CY147237.1|BY|HA|NorthAmerica|2013-03-15","North America","Y2"
"EPI_ISL_138569|Yamagata|HA|NorthAmerica|2013-01-14","North America","Y2"
"EPI_ISL_153519|Yamagata|HA|NorthAmerica|2013-10-20","North America","Y2"
"EPI_ISL_142899|Yamagata|HA|NorthAmerica|2013-04-08","North America","Y2"
"CY141319.1|BY|HA|NorthAmerica|2013-01-11","North America","Y2"
"EPI_ISL_153509|Yamagata|HA|NorthAmerica|2013-12-03","North America","Y2"
"CY163432.1|BY|HA|NorthAmerica|2013-02-21","North America","Y2"
"EPI_ISL_142887|Yamagata|HA|NorthAmerica|2013-04-03","North America","Y2"
"KP864273.1|BY|HA|NorthAmerica|2013-12-11","North America","Y3"
"EPI_ISL_153516|Yamagata|HA|NorthAmerica|2013-11-04","North America","Y3"
"CY147285.1|BY|HA|NorthAmerica|2013-04-12","North America","Y2"
"CY163449.1|BY|HA|NorthAmerica|2013-05-23","North America","Y2"
"CY172087.1|BY|HA|NorthAmerica|2013-03-20","North America","Y2"
"EPI_ISL_142889|Yamagata|HA|NorthAmerica|2013-04-19","North America","Y2"
"EPI_ISL_136476|Yamagata|HA|NorthAmerica|2013-01-17","North America","Y2"
"KP864246.1|BY|HA|NorthAmerica|2014-04-16","North America","Y3"
"CY191475.1|BY|HA|NorthAmerica|2014-03-31","North America","Y3"
"EPI_ISL_159603|Yamagata|HA|NorthAmerica|2014-03-01","North America","Y3"
"KP864255.1|BY|HA|NorthAmerica|2014-02-28","North America","Y3"
"EPI_ISL_162367|Yamagata|HA|NorthAmerica|2014-04-15","North America","Y3"
"EPI_ISL_168673|Yamagata|HA|NorthAmerica|2014-08-23","North America","Y3"
"EPI_ISL_158705|Yamagata|HA|NorthAmerica|2014-01-27","North America","Y3"
"KP864165.1|BY|HA|NorthAmerica|2014-03-25","North America","Y3"
"KP864169.1|BY|HA|NorthAmerica|2014-02-07","North America","Y2"
"KP864222.1|BY|HA|NorthAmerica|2014-03-17","North America","Y3"
"EPI_ISL_168678|Yamagata|HA|NorthAmerica|2014-10-21","North America","Y3"
"EPI_ISL_169160|Yamagata|HA|NorthAmerica|2014-11-05","North America","Y3"
"EPI_ISL_173776|Yamagata|HA|NorthAmerica|2014-12-08","North America","Y3"
"KP864221.1|BY|HA|NorthAmerica|2014-03-07","North America","Y3"
"EPI_ISL_170068|Yamagata|HA|NorthAmerica|2014-12-09","North America","Y3"
"EPI_ISL_197426|Yamagata|HA|NorthAmerica|2015-08-15","North America","Y3"
"EPI_ISL_173799|Yamagata|HA|NorthAmerica|2015-02-06","North America","Y3"
"EPI_ISL_194857|Yamagata|HA|NorthAmerica|2015-07-06","North America","Y3"
"KU729570.1|BY|HA|NorthAmerica|2015-03-30","North America","Y3"
"EPI_ISL_202359|Yamagata|HA|NorthAmerica|2015-10-01","North America","Y3"
"EPI_ISL_212881|Yamagata|HA|NorthAmerica|2015-11-28","North America","Y3"
"EPI_ISL_177196|Yamagata|HA|NorthAmerica|2015-02-20","North America","Y3"
"EPI_ISL_178115|Yamagata|HA|NorthAmerica|2015-03-05","North America","Y3"
"KU729629.1|BY|HA|NorthAmerica|2015-02-10","North America","Y3"
"KT374356.1|BY|HA|NorthAmerica|2015-03-11","North America","Y3"
"EPI_ISL_178208|Yamagata|HA|NorthAmerica|2015-03-06","North America","Y3"
"EPI_ISL_178162|Yamagata|HA|NorthAmerica|2015-02-09","North America","Y3"
"EPI_ISL_180352|Yamagata|HA|NorthAmerica|2015-04-01","North America","Y3"
"EPI_ISL_178201|Yamagata|HA|NorthAmerica|2015-03-10","North America","Y3"
"EPI_ISL_206963|Yamagata|HA|NorthAmerica|2015-12-11","North America","Y3"
"EPI_ISL_233640|Yamagata|HA|NorthAmerica|2016-07-05","North America","Y3"
"EPI_ISL_229427|Yamagata|HA|NorthAmerica|2016-05-11","North America","Y3"
"EPI_ISL_230581|Yamagata|HA|NorthAmerica|2016-06-01","North America","Y3"
"EPI_ISL_218702|Yamagata|HA|NorthAmerica|2016-01-11","North America","Y3"
"EPI_ISL_18999051|Yamagata|HA|NorthAmerica|2016-05-23","North America","Y3"
"EPI_ISL_220796|Yamagata|HA|NorthAmerica|2016-03-28","North America","Y3"
"EPI_ISL_233177|Yamagata|HA|NorthAmerica|2016-05-16","North America","Y3"
"EPI_ISL_240470|Yamagata|HA|NorthAmerica|2016-11-15","North America","Y3"
"EPI_ISL_217859|Yamagata|HA|NorthAmerica|2016-03-09","North America","Y3"
"EPI_ISL_217711|Yamagata|HA|NorthAmerica|2016-02-10","North America","Y3"
"EPI_ISL_230587|Yamagata|HA|NorthAmerica|2016-06-21","North America","Y3"
"EPI_ISL_232251|Yamagata|HA|NorthAmerica|2016-01-05","North America","Y3"
"MF195787.1|BY|HA|NorthAmerica|2016-03-10","North America","Y3"
"KY125950.1|BY|HA|NorthAmerica|2016-04-06","North America","Y3"
"EPI_ISL_217672|Yamagata|HA|NorthAmerica|2016-02-08","North America","Y3"
"EPI_ISL_270012|Yamagata|HA|NorthAmerica|2017-06-13","North America","Y3"
"EPI_ISL_296290|Yamagata|HA|NorthAmerica|2017-12-17","North America","Y3"
"OQ844242.1|BY|HA|NorthAmerica|2017-03-02","North America","Y3"
"MH216648.1|BY|HA|NorthAmerica|2017-03-21","North America","Y3"
"EPI_ISL_274412|Yamagata|HA|NorthAmerica|2017-06-19","North America","Y3"
"EPI_ISL_296337|Yamagata|HA|NorthAmerica|2017-12-03","North America","Y3"
"EPI_ISL_296641|Yamagata|HA|NorthAmerica|2017-12-22","North America","Y3"
"EPI_ISL_265031|Yamagata|HA|NorthAmerica|2017-01-04","North America","Y3"
"EPI_ISL_267616|Yamagata|HA|NorthAmerica|2017-04-26","North America","Y3"
"OQ844585.1|BY|HA|NorthAmerica|2017-12-21","North America","Y3"
"EPI_ISL_247684|Yamagata|HA|NorthAmerica|2017-01-19","North America","Y3"
"MG910959.1|BY|HA|NorthAmerica|2017-12-19","North America","Y3"
"MG910788.1|BY|HA|NorthAmerica|2017-12-11","North America","Y3"
"EPI_ISL_266900|Yamagata|HA|NorthAmerica|2017-05-09","North America","Y3"
"EPI_ISL_292742|Yamagata|HA|NorthAmerica|2017-12-21","North America","Y3"
"EPI_ISL_329925|Yamagata|HA|NorthAmerica|2018-08-09","North America","Y3"
"EPI_ISL_358258|Yamagata|HA|NorthAmerica|2018-02-19","North America","Y3"
"EPI_ISL_313162|Yamagata|HA|NorthAmerica|2018-04-20","North America","Y3"
"EPI_ISL_361517|Yamagata|HA|NorthAmerica|2018-02-22","North America","Y3"
"EPI_ISL_376451|Yamagata|HA|NorthAmerica|2018-01-30","North America","Y3"
"EPI_ISL_300938|Yamagata|HA|NorthAmerica|2018-01-30","North America","Y3"
"MG910926.1|BY|HA|NorthAmerica|2018-01-08","North America","Y3"
"EPI_ISL_302976|Yamagata|HA|NorthAmerica|2018-02-16","North America","Y3"
"EPI_ISL_314460|Yamagata|HA|NorthAmerica|2018-02-04","North America","Y3"
"EPI_ISL_361169|Yamagata|HA|NorthAmerica|2018-04-10","North America","Y3"
"EPI_ISL_304347|Yamagata|HA|NorthAmerica|2018-02-01","North America","Y3"
"EPI_ISL_306800|Yamagata|HA|NorthAmerica|2018-03-20","North America","Y3"
"MH603800.1|BY|HA|NorthAmerica|2018-03-02","North America","Y3"
"EPI_ISL_307116|Yamagata|HA|NorthAmerica|2018-04-01","North America","Y3"
"EPI_ISL_339821|Yamagata|HA|NorthAmerica|2019-01-10","North America","Y3"
"EPI_ISL_377605|Yamagata|HA|NorthAmerica|2019-07-13","North America","Y3"
"EPI_ISL_355675|Yamagata|HA|NorthAmerica|2019-04-01","North America","Y3"
"EPI_ISL_355655|Yamagata|HA|NorthAmerica|2019-03-26","North America","Y3"
"EPI_ISL_339822|Yamagata|HA|NorthAmerica|2019-01-10","North America","Y3"
"EPI_ISL_369685|Yamagata|HA|NorthAmerica|2019-01-13","North America","Y3"
"EPI_ISL_404906|Yamagata|HA|NorthAmerica|2019-12-27","North America","Y3"
"EPI_ISL_347897|Yamagata|HA|NorthAmerica|2019-02-13","North America","Y3"
"EPI_ISL_339814|Yamagata|HA|NorthAmerica|2019-01-01","North America","Y3"
"EPI_ISL_365698|Yamagata|HA|NorthAmerica|2019-06-10","North America","Y3"
"EPI_ISL_339780|Yamagata|HA|NorthAmerica|2019-01-05","North America","Y3"
"MK911825.1|BY|HA|NorthAmerica|2019-02-09","North America","Y3"
"EPI_ISL_435847|Yamagata|HA|NorthAmerica|2019-12-25","North America","Y3"
"EPI_ISL_387155|Yamagata|HA|NorthAmerica|2019-01-17","North America","Y3"
"EPI_ISL_380259|Yamagata|HA|NorthAmerica|2019-02-22","North America","Y3"
"EPI_ISL_94636|Yamagata|HA|NorthChina|2011-04-12","North China","Y1"
"KT424147.1|BY|HA|NorthChina|2011-04-08","North China","Y1"
"EPI_ISL_94571|Yamagata|HA|NorthChina|2011-03-10","North China","Y1"
"EPI_ISL_94602|Yamagata|HA|NorthChina|2011-02-15","North China","Y1"
"EPI_ISL_94627|Yamagata|HA|NorthChina|2011-04-06","North China","Y1"
"EPI_ISL_94594|Yamagata|HA|NorthChina|2011-03-09","North China","Y1"
"KR107195.1|BY|HA|NorthChina|2011-02-20","North China","Y1"
"EPI_ISL_100789|Yamagata|HA|NorthChina|2011-09-28","North China","Y2"
"EPI_ISL_94600|Yamagata|HA|NorthChina|2011-02-28","North China","Y1"
"KT424138.1|BY|HA|NorthChina|2011-04-10","North China","Y1"
"KT424139.1|BY|HA|NorthChina|2011-02-22","North China","Y1"
"EPI_ISL_94658|Yamagata|HA|NorthChina|2011-05-15","North China","Y1"
"KR107196.1|BY|HA|NorthChina|2011-03-23","North China","Y1"
"EPI_ISL_100813|Yamagata|HA|NorthChina|2011-10-14","North China","Y1"
"EPI_ISL_94561|Yamagata|HA|NorthChina|2011-02-15","North China","Y1"
"EPI_ISL_126281|Yamagata|HA|NorthChina|2012-02-14","North China","Y3"
"EPI_ISL_126324|Yamagata|HA|NorthChina|2012-03-17","North China","Y3"
"EPI_ISL_126290|Yamagata|HA|NorthChina|2012-02-22","North China","Y3"
"EPI_ISL_126296|Yamagata|HA|NorthChina|2012-03-02","North China","Y3"
"EPI_ISL_126344|Yamagata|HA|NorthChina|2012-04-15","North China","Y3"
"KT424143.1|BY|HA|NorthChina|2012-01-05","North China","Y3"
"EPI_ISL_126280|Yamagata|HA|NorthChina|2012-02-13","North China","Y2"
"EPI_ISL_126316|Yamagata|HA|NorthChina|2012-03-12","North China","Y3"
"EPI_ISL_126330|Yamagata|HA|NorthChina|2012-04-03","North China","Y3"
"EPI_ISL_126306|Yamagata|HA|NorthChina|2012-03-06","North China","Y3"
"EPI_ISL_126342|Yamagata|HA|NorthChina|2012-04-11","North China","Y3"
"KT424150.1|BY|HA|NorthChina|2012-01-16","North China","Y1"
"EPI_ISL_126282|Yamagata|HA|NorthChina|2012-02-16","North China","Y3"
"EPI_ISL_126336|Yamagata|HA|NorthChina|2012-04-05","North China","Y3"
"EPI_ISL_126340|Yamagata|HA|NorthChina|2012-04-09","North China","Y3"
"MG196329.1|BY|HA|NorthChina|2013-12-26","North China","Y3"
"KR150983.1|BY|HA|NorthChina|2013-11-24","North China","Y3"
"MG196322.1|BY|HA|NorthChina|2013-11-21","North China","Y3"
"KU242741.1|BY|HA|NorthChina|2013-11-30","North China","Y3"
"EPI_ISL_158703|Yamagata|HA|NorthChina|2013-11-02","North China","Y3"
"MG196321.1|BY|HA|NorthChina|2013-12-01","North China","Y3"
"KJ439758.1|BY|HA|NorthChina|2013-12-25","North China","Y3"
"MG196325.1|BY|HA|NorthChina|2013-12-05","North China","Y3"
"MG196326.1|BY|HA|NorthChina|2013-12-12","North China","Y3"
"EPI_ISL_153350|Yamagata|HA|NorthChina|2013-12-04","North China","Y3"
"KR150982.1|BY|HA|NorthChina|2013-11-10","North China","Y3"
"MG196327.1|BY|HA|NorthChina|2013-12-20","North China","Y3"
"KJ439761.1|BY|HA|NorthChina|2013-12-27","North China","Y3"
"KJ439759.1|BY|HA|NorthChina|2013-12-25","North China","Y3"
"MG196324.1|BY|HA|NorthChina|2013-12-05","North China","Y3"
"KT383649.1|BY|HA|NorthChina|2014-02-23","North China","Y3"
"KJ439763.1|BY|HA|NorthChina|2013-12-30","North China","Y3"
"KT383651.1|BY|HA|NorthChina|2014-03-25","North China","Y3"
"KT383652.1|BY|HA|NorthChina|2014-03-27","North China","Y3"
"KT383650.1|BY|HA|NorthChina|2014-07-27","North China","Y3"
"KX687795.1|BY|HA|NorthChina|2014-12-11","North China","Y3"
"KT383654.1|BY|HA|NorthChina|2014-04-14","North China","Y3"
"KX687788.1|BY|HA|NorthChina|2014-12-26","North China","Y3"
"KJ439762.1|BY|HA|NorthChina|2013-12-30","North China","Y3"
"EPI_ISL_169680|Yamagata|HA|NorthChina|2014-11-09","North China","Y3"
"EPI_ISL_178060|Yamagata|HA|NorthChina|2014-12-22","North China","Y3"
"KT383648.1|BY|HA|NorthChina|2014-01-21","North China","Y3"
"KJ439764.1|BY|HA|NorthChina|2013-12-30","North China","Y3"
"MG196320.1|BY|HA|NorthChina|2013-12-30","North China","Y3"
"KT383653.1|BY|HA|NorthChina|2014-04-14","North China","Y3"
"KT383599.1|BY|HA|NorthChina|2015-04-07","North China","Y3"
"KT383642.1|BY|HA|NorthChina|2015-03-30","North China","Y3"
"KT383637.1|BY|HA|NorthChina|2015-03-22","North China","Y3"
"KT383597.1|BY|HA|NorthChina|2015-03-30","North China","Y3"
"KT383587.1|BY|HA|NorthChina|2015-03-05","North China","Y3"
"KT383604.1|BY|HA|NorthChina|2015-03-09","North China","Y3"
"KT383641.1|BY|HA|NorthChina|2015-03-30","North China","Y3"
"KT383602.1|BY|HA|NorthChina|2015-04-30","North China","Y3"
"KT383588.1|BY|HA|NorthChina|2015-03-05","North China","Y3"
"EPI_ISL_178058|Yamagata|HA|NorthChina|2015-01-27","North China","Y3"
"KT383645.1|BY|HA|NorthChina|2015-03-31","North China","Y3"
"KT383609.1|BY|HA|NorthChina|2015-03-21","North China","Y3"
"KT383621.1|BY|HA|NorthChina|2015-04-03","North China","Y3"
"KT383647.1|BY|HA|NorthChina|2015-04-02","North China","Y3"
"EPI_ISL_212669|Yamagata|HA|NorthChina|2015-12-03","North China","Y3"
"EPI_ISL_225405|Yamagata|HA|NorthChina|2016-05-08","North China","Y3"
"EPI_ISL_225392|Yamagata|HA|NorthChina|2016-03-22","North China","Y3"
"EPI_ISL_225383|Yamagata|HA|NorthChina|2016-03-08","North China","Y3"
"EPI_ISL_225384|Yamagata|HA|NorthChina|2016-03-01","North China","Y3"
"EPI_ISL_225390|Yamagata|HA|NorthChina|2016-04-05","North China","Y3"
"EPI_ISL_225393|Yamagata|HA|NorthChina|2016-04-11","North China","Y3"
"EPI_ISL_225395|Yamagata|HA|NorthChina|2016-04-06","North China","Y3"
"EPI_ISL_225411|Yamagata|HA|NorthChina|2016-03-03","North China","Y3"
"EPI_ISL_334830|Yamagata|HA|NorthChina|2017-11-29","North China","Y3"
"EPI_ISL_334773|Yamagata|HA|NorthChina|2017-12-18","North China","Y3"
"EPI_ISL_278697|Yamagata|HA|NorthChina|2017-05-25","North China","Y3"
"EPI_ISL_334867|Yamagata|HA|NorthChina|2017-11-20","North China","Y3"
"EPI_ISL_290559|Yamagata|HA|NorthChina|2017-12-06","North China","Y3"
"EPI_ISL_290565|Yamagata|HA|NorthChina|2017-12-06","North China","Y3"
"EPI_ISL_334785|Yamagata|HA|NorthChina|2017-12-14","North China","Y3"
"EPI_ISL_290578|Yamagata|HA|NorthChina|2017-11-13","North China","Y3"
"EPI_ISL_334757|Yamagata|HA|NorthChina|2017-11-21","North China","Y3"
"EPI_ISL_288699|Yamagata|HA|NorthChina|2017-10-11","North China","Y3"
"EPI_ISL_334852|Yamagata|HA|NorthChina|2017-10-17","North China","Y3"
"EPI_ISL_334831|Yamagata|HA|NorthChina|2017-11-16","North China","Y3"
"EPI_ISL_334847|Yamagata|HA|NorthChina|2017-10-14","North China","Y3"
"MH932606.1|BY|HA|NorthChina|2017-12-15","North China","Y3"
"EPI_ISL_270702|Yamagata|HA|NorthChina|2017-02-02","North China","Y3"
"EPI_ISL_335101|Yamagata|HA|NorthChina|2018-03-07","North China","Y3"
"EPI_ISL_334728|Yamagata|HA|NorthChina|2018-03-16","North China","Y3"
"EPI_ISL_334803|Yamagata|HA|NorthChina|2018-02-05","North China","Y3"
"EPI_ISL_334802|Yamagata|HA|NorthChina|2018-02-05","North China","Y3"
"EPI_ISL_334794|Yamagata|HA|NorthChina|2018-01-21","North China","Y3"
"EPI_ISL_334722|Yamagata|HA|NorthChina|2018-03-12","North China","Y3"
"EPI_ISL_334800|Yamagata|HA|NorthChina|2018-02-05","North China","Y3"
"MH932604.1|BY|HA|NorthChina|2018-01-15","North China","Y3"
"EPI_ISL_334708|Yamagata|HA|NorthChina|2018-03-05","North China","Y3"
"EPI_ISL_334699|Yamagata|HA|NorthChina|2018-03-02","North China","Y3"
"EPI_ISL_334696|Yamagata|HA|NorthChina|2018-02-07","North China","Y3"
"EPI_ISL_334742|Yamagata|HA|NorthChina|2018-02-12","North China","Y3"
"EPI_ISL_335090|Yamagata|HA|NorthChina|2018-03-21","North China","Y3"
"EPI_ISL_335094|Yamagata|HA|NorthChina|2018-04-18","North China","Y3"
"EPI_ISL_367334|Yamagata|HA|NorthChina|2019-04-22","North China","Y3"
"EPI_ISL_344382|Yamagata|HA|NorthChina|2019-01-14","North China","Y3"
"EPI_ISL_367095|Yamagata|HA|NorthChina|2019-02-12","North China","Y3"
"EPI_ISL_118599|Yamagata|HA|Oceania|2011-11-04","Oceania","Y1"
"EPI_ISL_106830|Yamagata|HA|Oceania|2011-09-16","Oceania","Y2"
"EPI_ISL_94808|Yamagata|HA|Oceania|2011-01-25","Oceania","Y1"
"EPI_ISL_106835|Yamagata|HA|Oceania|2011-09-26","Oceania","Y1"
"EPI_ISL_99674|Yamagata|HA|Oceania|2011-04-10","Oceania","Y1"
"EPI_ISL_106842|Yamagata|HA|Oceania|2011-11-18","Oceania","Y1"
